idpiso,"imagen","descripcion",orden
805,"ASEO_I.JPG","aseo completo",7
805,"BAÑO_GRANDE_I.JPG","cuarto de baño",8
805,"BAÑO_GRANDE_II.JPG","cuarto de baño",9
805,"COCINA_I.JPG","cocina",10
805,"COCINA_II.JPG","cocina",11
805,"COCINA_III.JPG","cocina",12
806,"cocina4.JPG","cocina",3
806,"habitación_1.JPG","habitacion 1",5
806,"habitación_21.JPG","habitacion 2",6
806,"habitacion_31.JPG","habitacion 3",7
806,"habitación_4.JPG","habitacion 4",8
806,"terraza.JPG","terraza",2
806,"vistas.JPG","vista terraza",1
806,"salon5.JPG","salon",4
818,"Piso_(2).jpg","Habitación",2
818,"Piso_(4).jpg","Cocina",1
811,"P8080008.JPG","dormitorio",1
811,"P8080020.JPG","dormitorio",2
811,"P8080026.JPG","dormitorio",3
811,"P8080004.JPG","cocina con galeria",4
811,"P8080018.JPG","baño",5
811,"P8080014.JPG","salon",6
811,"P8080015.JPG","salon",8
857,"2011-08-27_15.27_.41_.jpg","cocina",1
828,"Habitacion_1a.JPG","Habitación 1",1
828,"Habitacion_2a.JPG","Habitación 2",2
828,"Habitacion_3.JPG","Habitación 3",3
828,"Cocina_a.JPG","Cocina",5
2040,"IMG_20180530_114039.jpg","dormitorio 1",4
829,"2012-07-28_19.04_.17_.jpg","salón",3
829,"2012-07-28_19.11_.19_.jpg","cocina",4
829,"2012-07-28_19.05_.15_.jpg","exterior",1
1034,"Magallanes_12.02_.09_001_.jpg","salon",1
829,"2012-07-28_18.59_.40_.jpg","habitación",7
829,"2012-07-28_19.14_.13_.jpg","galería",8
829,"2012-07-28_18.54_.34_.jpg","baño",6
829,"2012-07-28_18.55_.58_.jpg","habitación",9
829,"2012-07-28_19.19_.24_.jpg","baño",10
829,"2012-07-28_19.05_.26_.jpg","exterior",11
829,"2012-07-28_19.06_.14_.jpg","habitación",5
829,"2012-07-28_19.17_.32_.jpg","cocina",12
829,"2012-07-28_19.11_.34_.jpg","exterior",14
829,"2012-07-28_19.03_.55_.jpg","salón",13
830,"CIMG1447.JPG","cocina",1
830,"CIMG1448.JPG","salón",2
830,"CIMG1449.JPG","terraza",3
830,"CIMG1451.JPG","baño 1",4
830,"CIMG1974.JPG","dormitorio",5
830,"CIMG1972.JPG","dormitorio 2",6
830,"CIMG1970.JPG","dormitorio 3",7
830,"CIMG1971.JPG","dormitorio 4",8
830,"IMGP3916.JPG","baño 2",9
831,"DSCF1379.JPG","Baño",6
2088,"Cocina_1.JPG","Cocina",5
831,"DSCF1373.JPG","Cocina (Frigorídico + mesa)",5
831,"DSCF1372.JPG","Cocina",4
831,"DSCF1368.JPG","Salón",3
411,"cocina41.JPG","Cocina",10
831,"DSCF1365.JPG","Salón",2
2097,"WhatsApp_Image_2018-08-22_at_18_02_32_(1).jpeg","Salón",4
411,"IMG_20150725_130159.jpg","Habitacion",9
831,"DSCF1359.JPG","Habitación",1
897,"P1120268.JPG","DORMITORIO",3
1958,"P8190090.JPG","parte del dormitorio",5
1955,"SALON10.jpg","SALON ",5
792,"3217_1182296_1444203327.png","cocina",5
1954,"IMG_20170504_204311.jpg","salón",1
1772,"Salon7.JPG","salón",10
1772,"Recibidor1.JPG","recibidor",9
1772,"Recibidor.JPG","recibidor",8
1953,"received_10153449494271752.jpeg","Baño",7
1953,"received_10153449494261752.jpeg","Baño",6
1953,"received_10153449494296752.jpeg","Dormitorio",5
876,"principal1.jpg","Habitación.",7
876,"DSC091981.JPG","Escritorios habitación",6
886,"07092012028.JPG","Habitación",2
1332,"IMG_2809.JPG","Salón",5
1332,"IMG_0376.JPG","cocina",4
841,"Hab_2.3_(220)__1.JPG","habitación individual 2",10
841,"Mirabel_calle.jpg","Calle Mirabel",9
692,"P1010408.DIA_27_.8_.2012_.JPG","HABITACION",2
692,"P1010404.JPG","PORTAL",3
692,"P1010407.DIA_27_.8_.2012_.JPG","HABITACION 2",4
692,"P1010406.JPG","COCINA",5
692,"P1010399.JPG","BAÑO",6
692,"P1010397.JPG","HABITACION 3",7
692,"P1010384.JPG","HALL ENTRADA",8
692,"P1010387.JPG","VISTA DE PLAZA SAN JUAN DESDE SALON",9
692,"P1010377.JPG","VISTA DEL EDIFICIO DESDE PLAZA SAN JUAN",10
849,"Captura.JPG","Portal de la casa",1
854,"la_foto_(4).JPG","salon",6
850,"2012-08-28_22.41_.30_.jpg","Habitación 2",4
854,"la_foto.JPG","cocina",3
854,"la_foto_(5).JPG","habitacion 2",2
850,"2012-08-28_22.42_.34_.jpg","Habitación 1",3
981,"PB280024.ARMARIO_.Habitacion_.JPG","ARMARIO EMPOTRADO",4
850,"2012-08-28_22.43_.30_.jpg","0",9
854,"la_foto_(1).JPG","habitacion 1",1
850,"2012-08-28_22.44_.42_.jpg","Terraza",13
850,"2012-08-28_22.45_.34_.jpg","Salón",11
897,"P1120284.JPG","COCINA",4
851,"DSCN2754.JPG","cocina",3
851,"DSCN2759.JPG","salón",4
851,"DSCN2767.JPG","habitaciones exteriores y amplias",5
851,"DSCN2765.JPG","habitaciones interiores",1
848,"506.JPG","Zonas comunes",9
848,"DSC_0044.JPG","Habitacion 1",8
848,"483.JPG","Habitacion 3",7
848,"480.JPG","Comedor",6
848,"479.JPG","Comedor",5
848,"471.JPG","Baño",4
1950,"IMG_5010.JPG","cocina",6
2061,"644D7516-E7B3-4B68-9BCE-13CC4A74625F.jpeg","Baño",5
842,"IMG_4764.JPG","habitación",3
2036,"613.jpg","habitación principal que incluye otro baño pequeño con ducha, lavabo, váter y bidé",4
857,"2011-08-27_15.23_.16_.jpg","cocina",2
857,"2011-08-27_15.36_.15_.jpg","salon",3
857,"2011-08-27_15.30_.43_.jpg","salon",4
857,"2011-08-27_14.58_.00_.jpg","pasillo",5
857,"2011-08-27_15.03_.38_.jpg","baño",6
857,"2011-08-27_15.04_.27_.jpg","baño",7
857,"2011-08-27_14.50_.04_.jpg","habitacion",8
857,"2011-08-27_14.56_.21_.jpg","habitacion",9
1954,"IMG_20170506_202544.jpg","cocina",2
1954,"IMG_20170504_204351.jpg","recibidor",3
851,"DSCN2768.JPG","habitaciones exteriores y amplias",2
860,"P1000560.JPG","salon",1
860,"P1000563.JPG","cocina",2
860,"P1000565.JPG","galeria-despensa",3
860,"P1000567.JPG","dormitorio p.",4
860,"P1000568.JPG","baño",5
860,"P1000570.JPG","dormitorio g.",6
862,"P1010263.JPG","Habitación 1",1
862,"P1010264.JPG","Habitación 1",2
862,"P1010271.JPG","Habitación 3",7
670,"P7040067.jpg","Baño pequeño",0
882,"IMG_4408.JPG","Casa",1
882,"IMG_4396.JPG","casa",2
878,"500818_000238_foto_7_260028904.jpg","salon",2
878,"500818_000238_foto_2_260028904.jpg","cocina",1
868,"IMG_4566.jpg","Salon-comedor",1
868,"IMG_4572.jpg","cocina",2
868,"170820081631.jpg","Cocina",3
868,"IMG_4579.jpg","HABITACION INDIVIDUAL",4
868,"IMG_10711.jpg","Habitacion 2",5
868,"IMG_45771.jpg","abitacion 3",6
868,"IMG_4574.jpg","Baño",7
868,"IMG_4573.jpg","Salon-comedor",8
866,"P8300076.JPG","salón",8
866,"P8300077.JPG","salón 2",1
866,"P8300078.JPG","cocina",2
866,"P8300079.JPG","baño",3
866,"P8300080.JPG","baño 2",4
866,"P8300081.JPG","habitación libre",5
866,"P8300082.JPG","habitación libre",6
866,"P8300083.JPG","terraza",7
897,"P1120265.JPG","DORMITORIO",1
897,"P1120280.JPG","VISTAS",2
897,"P1120279.JPG","SALON COMEDOR",7
881,"fotos_2.012_238_.jpg","Habitación 1",2
881,"fotos_2.012_239_.jpg","Habitación 2",3
881,"fotos_2.012_241_.jpg","Habitación 3",1
881,"fotos_2.012_245_.jpg","cocina",5
881,"fotos_2.012_244_.jpg","Salon-comedor",7
881,"fotos_2.012_243_.jpg","Salon-comedor",8
881,"fotos_2.012_247_.jpg","vistas a la universidad desde la terraza",4
884,"foto71.JPG","salon",1
888,"WP_000668.jpg","Salón ",1
888,"WP_000669.jpg","Salón",12
888,"WP_000670.jpg","Salón",2
888,"WP_000671.jpg","Habitación",3
888,"WP_000672.jpg","Habitación",4
888,"WP_000673.jpg","Habitación",5
888,"WP_000680.jpg","Habitación",6
888,"WP_0006741.jpg","Baño",7
888,"WP_000676.jpg","Cocina",9
888,"WP_000677.jpg","Cocina",10
888,"WP_000678.jpg","Cocina",11
854,"la_foto_(3).JPG","baño peq",5
854,"la_foto_(2).JPG","baño grande, tiene bañera",4
906,"P1010145.JPG","Cocina",2
906,"P1010133.JPG","Dormitorio principal",1
906,"P1010136.JPG","Baño",3
906,"P1010148.JPG","Salón",4
906,"P1010141.JPG","Dormitorio",5
1218,"P1052250.JPG","Salon",5
961,"2012-09-20_19.12_.55_.jpg","cocina ",2
961,"2012-09-20_19.11_.31_.jpg","salón",1
905,"IMG-20120911-WA0020.jpg","Habitacion libre",1
897,"P11202881.JPG","CUARTO DE BAÑO",5
897,"P1120294.JPG","RECIBIDOR",6
905,"IMG-20120911-WA0026.jpg","Cuarto de baño pequeño",5
1578,"P7240247.JPG","Salón",1
908,"IMG_20170411_1002201.jpg","cocina",7
908,"IMG_20170411_100220.jpg","cocina",6
908,"IMG_20170410_130923.jpg","habitacion 3",5
908,"IMG_20170410_130904.jpg","habitacion 2",4
909,"IMG_3264.JPG","salón",1
909,"IMG_3265.JPG","salón",2
909,"IMG_3266.JPG","cocina",3
909,"IMG_32731.JPG","dormitorios",6
909,"IMG_3274.JPG","dormitorios",7
909,"IMG_3277.JPG","vistas",8
911,"2012-07-24_18.57_.15_.jpg"," ",1
911,"2012-07-24_18.57_.27_.jpg"," ",2
911,"2012-07-24_18.59_.26_.jpg"," ",3
911,"2012-07-24_18.59_.49_.jpg"," ",4
911,"2012-07-24_19.07_.00_.jpg"," ",5
911,"2012-07-24_19.17_.26_.jpg"," ",6
911,"2012-07-24_19.20_.25_.jpg"," ",7
911,"2012-07-24_19.22_.53_.jpg"," ",8
911,"2012-07-24_19.23_.02_.jpg"," ",9
911,"2012-07-24_19.24_.57_.jpg"," ",10
911,"2012-07-24_19.25_.21_.jpg"," ",11
911,"2012-07-24_19.35_.52_.jpg"," ",12
911,"2012-07-24_19.36_.07_.jpg"," ",13
911,"2012-07-24_19.36_.41_.jpg"," ",14
913,"FUERA_1.JPG","FACHADA",1
913,"COCINA_1.JPG","COCINA",2
913,"SUPER_SAL._._.JPG","SALÓN",3
770,"baño_1.jpg","Baño",6
770,"cocina_2.jpg","Cocina",2
770,"habitacion_1_1.jpg","Habitación 1",3
770,"habitacion_2_1.jpg","Habitación 2",4
770,"habitacion_3_1.jpg","Habitación 3",5
770,"salon_21.jpg","Salón",1
915,"IMG_2278.JPG","domitorio",2
915,"IMG_2281.JPG","salón",3
1964,"IMG-20170610-WA0016.jpg","cocina",2
1964,"IMG-20170610-WA0011.jpg","salon",1
1962,"Diapositiva4.JPG","5",5
915,"IMG_2283.JPG","baño",4
1961,"cuarto_primero21.jpg","vestidor habitación 1",3
1961,"salón5.jpg","salón",5
916,"DSC_0056.JPG","Salón",1
916,"61.jpg","Habitación 1",10
916,"7.jpg","Habitación 1",2
916,"8.jpg","Cocina",6
916,"4.jpg","Pasillo",7
916,"Imagen295.jpg","Habitación 2",3
916,"Imagen297.jpg","Habitación 3",4
916,"Imagen294.jpg","Habitación 4",5
916,"Imagen303.jpg","Baño1",8
916,"Imagen304.jpg","Baño2",9
918,"P1010055.JPG","FOTO 1",1
670,"P7040066.jpg","Escritorio de habitación",6
670,"P7040062.jpg","Salón",3
670,"P7040063.jpg","Mesa de comedor",5
670,"P7040065.jpg","Otra habitación con su armario",4
925,"07092009031.jpg","habitacion",1
840,"MADRE_DE_DIOS_001.jpg","dormitorio principal",10
840,"MADRE_DE_DIOS_007.jpg","Segundo dormitorio",1
840,"MADRE_DE_DIOS_013.jpg","Tercer dormitorio",2
840,"MADRE_DE_DIOS_014.jpg","Tercer dormitorio 2",3
840,"MADRE_DE_DIOS_017.jpg","Salón",4
840,"MADRE_DE_DIOS_019.jpg","Salón-2",5
840,"MADRE_DE_DIOS_011.jpg","Baño",6
840,"MADRE_DE_DIOS_003.jpg","Cocina",7
840,"MADRE_DE_DIOS_004.jpg","Galeria cocina",8
840,"MADRE_DE_DIOS_006.jpg","Cocina-2",9
926,"CIMG0040.JPG","Habitación a alquilar",2
926,"CIMG0037.JPG","Cocina",3
1332,"IMG_0365.JPG","Baño",3
933,"DSCF2118.JPG","salon",1
933,"DSCF2123.JPG","habitación",2
933,"DSCF2136.JPG","habitación",3
918,"p1010001.jpg","Foto 2",2
937,"2011-09-04_Moradas_001.jpg","HABITACION ",1
937,"2011-09-04_Moradas_004.jpg","HABITACION",2
937,"2011-09-04_Moradas_007.jpg","HABITACION",3
937,"2011-09-04_Moradas_008.jpg","HABITACION",4
937,"2011-09-04_Moradas_012.jpg","BAÑO",5
937,"2011-09-04_Moradas_015.jpg","COCINA",6
939,"Valladolid-20120918-00415.jpg","Cocina",4
938,"20120919_182922.jpg","dormitorio2",1
938,"20120919_182817.jpg","dormitorio1",2
938,"20120919_183025.jpg","salón",3
938,"20120919_183237.jpg","habitación doble",4
938,"20120919_183430.jpg","cocina",5
1193,"WhatsApp_Image_2017-07-25_at_21_42_28.jpeg","Baño con ducha grande",5
1193,"IMG_20130726_174537.jpg","Habitación de 190€",1
1193,"IMG_1095.JPG","Habitación de 175€",2
1193,"WhatsApp_Image_2017-07-25_at_21_47_04.jpeg","Cocina con inducción",3
1193,"WhatsApp_Image_2017-07-25_at_21_42_01.jpeg","Salón",4
915,"IMG_2301.JPG","COCINA",1
910,"P1010016.JPG","cocina",4
939,"20120930_144442.jpg","Salón",1
939,"20120930_144508.jpg","Salón",2
910,"P1010023.JPG","habitacion 2",3
910,"P1010013.JPG","habitacion 1",2
910,"P1010005.JPG","Fachada",1
939,"20120930_144534.jpg","Salón",3
1218,"P1052249.JPG","salon",4
1960,"2014-01-07_14.23_.38_.jpg","habitación",2
1950,"IMG_5007.JPG","habitación doble",3
2096,"baño1.jpg","baño1",5
2096,"salon.jpg","salon",4
1950,"IMG_5005.JPG","salón",1
904,"salon_1024.jpg","Salón",1
904,"cocina1_1024.jpg","Cocina_1",2
904,"cocina2_1024.jpg","Cocina_2",3
904,"dormitorio_principal_1024.jpg","Dormitorio principal",4
904,"dormitorio_peque_1024.jpg","Dormitorio segundo",5
904,"wc_768.jpg","Baño",6
947,"Cocina1ªpl._.JPG","Cocina",2
947,"Dormitorio.4_.JPG","Dormitorio",3
947,"P1050048.JPG","Sala de estar",4
947,"P1070277.C_.JPG","Sala de estar",1
947,"P1070280.B_.JPG","Baño",7
1146,"IMG_4258.JPG","Salon",1
946,"08.JPG","Baño",7
946,"07.JPG","Cocina",6
946,"02.JPG","Cocina",5
946,"04.JPG","Dormitorio 3",4
887,"P1010421.JPG","dormitorio",1
946,"05.JPG","Dormitorio 2",3
1332,"IMG_2799.JPG","Dormitorio",2
887,"P1010425.JPG","Baño",3
887,"P1010426.JPG","Aseo",4
920,"DSCN11211.jpg","salón comedor",1
920,"DSCN11191.jpg","dormitorio",2
920,"DSCN11181.jpg","cocina",3
920,"DSCN11221.jpg","cuarto de baño",4
955,"Foto0040.jpg","Habitación",1
955,"Foto0042.jpg","Habitación ",2
1953,"received_10153449494256752.jpeg","Dormitorio",4
1953,"received_10153449494251752.jpeg","Dormitorio",3
1953,"received_10153449494231752.jpeg","Cocina",2
1953,"received_10153449494286752.jpeg","Salón comedor",1
916,"DSC03644.JPG","Salon",15
842,"Vistas_este.jpg","Vistas",2
1952,"IMG_3323.JPG","habitación doble",5
1952,"IMG_3321.JPG","habitación doble",4
1952,"IMG_33221.JPG","Salon",3
1950,"IMG_50111.JPG","baño",7
1950,"IMG_5016.JPG","habitación",5
2096,"Habitacion3.jpg","habitacion 3",3
1960,"2014-01-07_14.22_.47_.jpg","habitación",3
939,"20120930_144639.jpg","Baño principal",5
896,"100_3986.JPG","foto 1",1
896,"100_3987.JPG","foto 2",2
896,"100_3988.JPG","foto 3",3
841,"Baño2.JPG","Baño",8
841,"Cocina3.JPG","Cocina",7
876,"DSC092091.JPG","Salón",3
876,"DSC092031.JPG","Cocina",4
876,"DSC092071.JPG","Armario habitación",5
969,"Foto_007.jpg","Cocina",1
969,"Foto_005.jpg","Baño",5
969,"Foto_004.jpg","Salón1",2
969,"Foto_003.jpg","Salón2",4
969,"Foto_001.jpg","Habitación",6
972,"Foto0118.jpg","Dormitorio",6
972,"Foto0113.jpg","Dormitorio",7
972,"1098_0_foto_8_945856906934437.jpg","Escalera",8
981,"PB290008_dormitorio_1.JPG","DORMITORIO",5
973,"IMG_9585.jpg","COCINA",2
973,"IMG_9587.jpg","COMEDOR",1
973,"IMG_9588.jpg","PASILLO",5
973,"IMG_9589.jpg","Habitación 1",6
973,"IMG_9594.jpg","Baño Principal",7
973,"IMG_9595.jpg","Jacuzzi",9
973,"IMG_9602.jpg","Salon",8
973,"IMG_9603.jpg","Habotación 2",12
973,"IMG_9608.jpg","Habitación 2",13
973,"IMG_9610.jpg","Habitación 3",14
973,"IMG_9611.jpg","Habitación 3 Baño",15
973,"IMG_9614.jpg","Pasillo",16
975,"cocina_21.jpg","Cocina",1
975,"MyPicture201210101202.JPG","Cuarto baño",2
975,"habitacion_2b.jpg","Habitacion",3
975,"MyPicture201210101202_0002.JPG","Salon",4
975,"MyPicture201210101202_0003.JPG","Salon",5
975,"MyPicture201210101202_0011.JPG","Habitacion",6
975,"vistas.jpg","Vista",7
976,"P1010290.JPG","cocina",3
976,"P1010294.JPG","dormitorio ",4
981,"PB280021.Habitacion_2_._.JPG","HABITACION CON ARMARIO EMPOTRADO",3
979,"Imagen_024.jpg","COCINA",7
979,"20121124_esteban_garcia_chico_001.jpg","DORMITORIO 3",6
981,"PB280036.PORTAL_.Entrada_1.JPG","PORTAL ENTRADA AL EDIFICIO",1
976,"P1010292.JPG","baño",6
979,"20121124_esteban_garcia_chico_031.jpg","DORMITORIO 2",5
979,"20121124_esteban_garcia_chico_044.jpg","DORMITORIO 1",4
981,"PB280014.COCINAdesdeENTRADA_.JPG","COCINA",7
981,"PB280017.BAÑO_.1_.JPG","BAÑO COMPLETO",9
981,"PB290003_salon.ANUNCIO_.JPG","SALON.CON TERCERA HABITACION",6
981,"PB280029.GALERIAcerrada_.Acceso_.desdeCOCINA_._Tendedero_a_patio_.JPG","GALERIA CERRADA, TENDEDERO YLAVADORA",8
981,"PB290009_vista.2_.JPG","VISTA DESDE SALON Y HABITACION",10
876,"DSC092101.JPG","Baño",2
876,"DSC09204.JPG","Habitación a ocupar.",1
984,"100_0870.JPG","habitacion 1",1
984,"100_0875.JPG","imagen 1 salón",2
984,"100_0873.JPG","imagen salon 2",3
984,"100_0876.JPG","imegen 1 baño",4
984,"100_0877.JPG","imegen 2 baño",5
984,"100_0878.JPG","imegen 1 cocina",6
984,"100_0879.JPG","imagen 2 cocina",7
1345,"Exterior_Facultades.JPG","Vista de las facultades",2
1345,"Hab1.1_-_copia_.jpg","Habitación",1
982,"0041.JPG","Habitación",1
982,"005.JPG","Habitación",2
982,"008.JPG","Habitación",3
982,"010.JPG","Habitación",4
982,"015.JPG","Pasillo",5
982,"017.JPG","Baño 1",6
982,"018.JPG","Baño 1",7
982,"022.JPG","Baño 2",8
982,"027.JPG","Habitación",9
982,"031.JPG","Salón",10
982,"033.JPG","Salón",11
982,"036.JPG","Salón",12
982,"041.JPG","Cocina",13
982,"043.JPG","Hall",14
992,"IMG-20121121-WA0018.jpg","SALÓN",4
992,"IMG-20121121-WA0019.jpg","SALÓN ",5
992,"IMG-20121121-WA0014.jpg","COCINA",6
992,"IMG-20121121-WA0016.jpg","COCINA",7
